sample_id,setup,mae,sharp_f0,sharp_f15,sharp_ratio,sharp_mean
sample_000139,A,0.8838241696357727,219.03542291726916,170.12414502367378,0.7766969504650879,214.8450111109065
sample_000140,A,0.5324411988258362,223.49451502263545,112.17957718595862,0.5019343636894047,138.19230916752946
sample_000141,A,0.2959592640399933,317.12177246328446,190.28010420262814,0.600022201959212,226.89136130450993
sample_000142,A,0.6768466830253601,268.0164254575596,128.79453733023257,0.48054717956316895,190.35617943899473
sample_000143,A,0.6876615881919861,205.33273352250458,109.29834469851104,0.5322986881998134,155.67852710186506
sample_000144,A,0.6492683291435242,229.38577259536834,97.63253775950521,0.42562595166582956,134.56629775056382
sample_000145,A,0.287342220544815,229.16600352670994,198.47823805775494,0.8660893631834956,193.3546782394801
sample_000146,A,0.2513098418712616,283.8406078314409,190.83500881195067,0.6723315957851891,184.6569623364159
sample_000147,A,0.3227792084217071,211.87206537663937,158.22970040287825,0.746817189522354,152.317128907498
sample_000148,A,0.4399658739566803,314.03146531045434,196.11761258538812,0.6245158025534303,187.64906719432446
sample_000149,A,0.5875452160835266,185.58136543925852,125.0379585443437,0.6737635443536442,147.8360184041038
sample_000150,A,0.4522925317287445,253.25328312929724,168.02186850126827,0.6634538609929314,195.45049328652675
sample_000151,A,0.5828827023506165,233.83627137389036,133.87524881824848,0.5725170352386858,151.2046801265818
sample_000152,A,0.2983866930007934,208.76071631297472,123.0896275502071,0.5896206418724428,133.4970440091542
sample_000153,A,0.4677750766277313,269.0095504363999,205.4711472414434,0.7638061433436786,197.3115302605741
sample_000154,B,0.8627800941467285,287.7881012862921,136.1964044001326,0.47325238184411306,156.9783755773725
sample_000155,B,0.5896615386009216,402.45951726675025,146.69282593097535,0.36449088575969074,189.21512889337492
sample_000156,B,0.7875523567199707,414.5521594405174,161.53064832150937,0.38965096343850264,192.99550904034868
sample_000157,B,0.659194827079773,462.3398316964134,191.84220491763207,0.4149376535734035,223.70965503221146
sample_000158,B,1.0288952589035034,525.618173971176,133.97877208586783,0.2548975258477554,193.76564956435234
sample_000159,B,0.7604878544807434,424.20095267143097,179.3672212833166,0.42283549849131824,196.81645676977
sample_000160,B,0.7377474904060364,438.00668745622045,173.84565344151108,0.396901824607158,217.16517313482706
sample_000161,B,0.6308125853538513,335.8602095543965,149.84896239280698,0.44616467842862223,163.0232767709717
sample_000162,B,0.9589832425117492,356.7317054909095,144.31131823059172,0.4045374044675969,185.73343069044176
sample_000163,B,0.8572842478752136,327.25700071599346,147.40092162456364,0.45041334884225737,161.93602296520027
sample_000164,B,0.8221357464790344,474.0483825680241,204.25350682582706,0.43087059113953935,228.5003110303008
sample_000165,B,0.7972807884216309,373.1906230972707,179.97846243962644,0.4822695193837058,187.22718997611435
sample_000166,B,0.2739361524581909,192.87701922472564,140.88938693463803,0.7304622785075521,140.68596485033632
sample_000167,B,0.8468673825263977,357.86432288434355,157.6349485778808,0.4404880243645469,186.74508012340402
sample_000168,B,0.5840023159980774,381.2658692441881,176.43589353501795,0.4627634093887818,193.54176979677982
sample_000169,B,0.8942740559577942,408.4631543517113,173.09446044921873,0.4237700722943887,206.23713185839358
sample_000170,B,0.7586938738822937,401.6108983635531,148.56641761884094,0.36992626002980905,189.6603536119149
sample_000171,B,0.757703959941864,332.8816628080234,140.8621719942987,0.4231599025493198,164.70550087253096
sample_000172,B,0.5211767554283142,378.50177223648876,148.65811341986063,0.3927540749451992,177.36284141579645
sample_000173,B,0.8844566345214844,393.97481883164494,161.62661129891873,0.4102460451107809,189.00081906633218
sample_000174,B,0.699699342250824,318.7722781818733,115.51614877447483,0.3623782765343475,160.63622873674612
sample_000175,B,0.9712064862251282,467.91473152101054,197.98466735839844,0.4231212527009495,224.4670693653496
sample_000176,B,0.6823711395263672,363.3092889254913,160.37894472941758,0.44143915285994423,178.72279864151494
