tier,sample,dino_pf,dino_flat,video,action,total_pf,total_flat,seed
unseen_cousin,unseen_cousin__frk2__so100large__ep000021__t0042,0.5173059082801068,0.5089844038645706,0.1674332102776219,1.1882247924804688,0.6807116525595062,0.6782152012348452,0
unseen_cousin,unseen_cousin__frk2__so100large__ep000022__t0040,0.2298213386831135,0.2299770687252736,0.150243639883671,1.3792234659194946,0.6657088799378332,0.6657555989504813,0
unseen_cousin,unseen_cousin__frk2__so100large__ep000023__t0000,0.3969794853047415,0.397608841879162,0.1641750780882235,1.046009540557861,0.5867501852410341,0.5869389922133602,0
unseen_cousin,unseen_cousin__frk2__so100large__ep000024__t0039,0.3653146430600752,0.3620452076555478,0.1669725717979049,1.322085738182068,0.6885204597302212,0.687539629108863,0
unseen_cousin,unseen_cousin__frk2__so100large__ep000025__t0031,0.5788978306027487,0.5783489444267764,0.1782253621973026,1.1505080461502075,0.6873401763000985,0.6871755104473067,0
unseen_cousin,unseen_cousin__frk2__so100large__ep000026__t0021,0.3971470091715056,0.3990801927294558,0.1709462459832015,1.2838345766067505,0.6839618071891123,0.6845417622564973,0
unseen_cousin,unseen_cousin__frk2__so100large__ep000027__t0015,0.5332688006150057,0.5332050649730696,0.1374375706031073,0.9760867953300476,0.591646629497453,0.5916275088048721,0
unseen_cousin,unseen_cousin__frk2__so100large__ep000028__t0020,0.5646550320988671,0.5645463100783611,0.1859605994349753,1.3106216192245483,0.7494333371499722,0.7494007205438202,0
unseen_cousin,unseen_cousin__frk2__so100large__ep000029__t0004,0.4564401746079817,0.4577121909711138,0.1528420670777039,0.9722395539283752,0.5716804940770558,0.5720620989859955,0
unseen_cousin,unseen_cousin__frk2__so100large__ep000030__t0012,0.4589889386659136,0.4595032986252185,0.1636645255978315,1.0499670505523682,0.6067828595000708,0.6069371674878623,0
unseen_cousin,unseen_cousin__frk2__so100large__ep000031__t0036,0.6196087208016052,0.6170291757557638,0.1426104662714371,1.2704566717147827,0.7368484248078258,0.7360745612940733,0
unseen_cousin,unseen_cousin__frk2__so100large__ep000032__t0014,0.3093521863940223,0.3080968753916404,0.1455408044841331,1.0415809154510498,0.5531002634438665,0.5527236701431519,0
unseen_cousin,unseen_cousin__frk2__so100large__ep000033__t0015,0.5592792631442871,0.5599145834905487,0.1531104937105576,1.0497866868972778,0.6336316018153646,0.633822197919243,0
unseen_cousin,unseen_cousin__frk2__so100large__ep000034__t0009,0.5139532988917583,0.5141291465842432,0.1714126194916473,1.6385191679000854,0.8610174426750559,0.8610701969828013,0
unseen_cousin,unseen_cousin__frk2__so100large__ep000035__t0034,0.5766506501263482,0.5765921227622153,0.1667965512484192,0.7911664843559265,0.5395007541548008,0.5394831959455609,0
unseen_cousin,unseen_cousin__frk2__so100large__ep000036__t0028,0.5607404978765391,0.5605924956680945,0.2577486909027123,1.102152705192566,0.6864078387108019,0.6863634380482685,0
unseen_cousin,unseen_cousin__frk2__so100large__ep000037__t0005,0.4963633038263826,0.4973716445109685,0.1291103936579877,1.4196382761001587,0.7554974196853746,0.7557999218907504,0
unseen_cousin,unseen_cousin__frk2__so100large__ep000038__t0005,0.3783981988405847,0.3781594301566201,0.1474717078016234,1.1944465637207031,0.6355395974809437,0.6354679668757544,0
unseen_cousin,unseen_cousin__frk2__so100large__ep000039__t0020,0.3780483724946104,0.3777974914385499,0.1576606212953267,1.4363559484481812,0.7352550775162536,0.7351798131994354,0
unseen_cousin,unseen_cousin__frk2__so100large__ep000040__t0032,0.5481614559492836,0.5479163574171144,0.2158420680063734,1.4668885469436646,0.8159564759641629,0.8158829464045122,0
unseen_cousin,unseen_cousin__frk2__so100large__ep000041__t0031,0.6938367285758762,0.6940767556276425,0.1874904513119948,1.337002873420715,0.7991993033346474,0.7992713114501773,0
unseen_cousin,unseen_cousin__frk2__so100large__ep000042__t0006,0.5274586593992436,0.5257986934273313,0.1946160271853152,1.2703590393066406,0.724766021698024,0.7242680319064503,0
unseen_cousin,unseen_cousin__frk2__so100large__ep000043__t0019,0.3951015635301929,0.3942995677010067,0.1471364332314549,1.1265301704406738,0.6132834672047639,0.6130428684560081,0
unseen_cousin,unseen_cousin__frk2__so100large__ep000044__t0035,0.5842171159960365,0.5784162143157126,0.1439770459125302,1.293735146522522,0.7359523071815788,0.7342120366774816,0
